"","CNT","CNTSTUID","CNTSCHID","ST004D01T","ST001D01T","DISCLIM","ANXMAT","ICTRES","ESCS","PV1MATH","ST259Q01JA","ICTSCH","ICTHOME","ICTQUAL","W_FSTUWT","SCHSEL","SCHLTYPE","W_SCHGRNRABWT"
"16435","CAN",12427828,12400757,2,10,0.1548,0.7889,1.3157,-0.5269,421.58,NA,NA,NA,NA,7.96408,NA,3,1.26327
"16436","CAN",12427829,12400014,1,10,0.3847,-0.1172,-0.4208,0.6445,487.748,NA,NA,NA,NA,1.32865,NA,1,1.05289
"16437","CAN",12427830,12400505,2,9,-0.1254,0.3729,-1.253,0.2247,432.514,NA,NA,NA,NA,8.13799,3,3,1.26327
"16438","CAN",12427831,12400062,1,10,0.1548,2.6149,1.4702,1.539,675.851,NA,NA,NA,NA,12.47044,1,3,1.08377
"16439","CAN",12427833,12400893,1,10,-0.0522,0.6566,-0.8164,-0.2349,359.929,NA,NA,NA,NA,2.72027,1,3,1.01499
"16440","CAN",12427834,12400528,1,10,0.1003,1.1287,1.3699,1.6382,576.237,NA,NA,NA,NA,45.80262,1,3,1.7567
"16441","CAN",12427836,12400318,1,10,NA,NA,-0.2999,NA,491.424,NA,NA,NA,NA,21.24378,1,3,2.72383
"16442","CAN",12427841,12400722,1,10,NA,NA,-0.5882,-0.8052,400.458,NA,NA,NA,NA,3.73002,3,3,1
"16443","CAN",12427843,12400099,1,10,0.4029,0.5653,0.8996,1.1606,521.478,NA,NA,NA,NA,25.56774,1,3,2.55988
"16444","CAN",12427844,12400015,2,10,-0.6732,0.133,1.2706,0.6033,429.277,NA,NA,NA,NA,24.37322,2,3,6.5165
"16445","CAN",12427845,12400640,2,10,-0.3695,-2.382,-0.7585,0.7758,368.566,NA,NA,NA,NA,1.47626,1,3,1.01499
"16446","CAN",12427846,12400303,2,10,NA,NA,0.3027,0.4585,499.297,NA,NA,NA,NA,28.59479,1,3,4.3813
"16447","CAN",12427847,12400789,2,10,0.3658,0.5653,0.3027,1.4588,598.462,NA,NA,NA,NA,3.71354,1,3,1.05289
"16448","CAN",12427848,12400580,2,10,-0.8709,-2.3755,-0.0466,-0.7619,579.924,NA,NA,NA,NA,2.57568,3,3,1.32162
"16449","CAN",12427851,12400864,1,10,-0.9964,1.9128,0.1617,0.4809,431.527,NA,NA,NA,NA,31.74783,2,3,5.47663
"16450","CAN",12427853,12400687,1,10,-0.0968,0.1932,-0.5484,0.1463,429.219,NA,NA,NA,NA,4.95558,3,3,1.01209
"16451","CAN",12427854,12400600,1,10,1.6526,-2.3945,-0.9615,-0.7807,482.409,NA,NA,NA,NA,6.81367,2,3,1.02029
"16452","CAN",12427855,12400489,1,10,-0.8697,0.8251,0.5879,-0.2919,535.49,NA,NA,NA,NA,21.73622,1,3,3.26043
"16453","CAN",12427856,12400197,2,10,1.0855,2.6109,0.3027,0.8295,500.013,NA,NA,NA,NA,26.99586,NA,3,3.53817
"16454","CAN",12427858,12400105,1,10,-0.0968,-0.5191,1.6587,1.7301,516.792,NA,NA,NA,NA,42.81467,3,3,7.15005
"16455","CAN",12427860,12400628,2,10,NA,NA,NA,NA,551.386,NA,NA,NA,NA,6.38207,3,3,1.02946
"16456","CAN",12427866,12400310,2,10,-0.1273,-0.4577,-0.0128,-0.1836,353.119,NA,NA,NA,NA,1.72294,NA,3,1.05289
"16457","CAN",12427867,12400216,1,10,1.6396,-0.5191,0.7631,0.7861,371.478,NA,NA,NA,NA,2.8153,1,3,1.40285
"16458","CAN",12427869,12400091,1,10,NA,NA,2.0421,1.1384,309.094,NA,NA,NA,NA,6.301,2,3,1.08377
"16459","CAN",12427870,12400800,2,10,0.123,-0.638,1.1436,0.4666,603.181,NA,NA,NA,NA,24.3142,NA,3,1.51679
"16460","CAN",12427871,12400382,1,10,NA,NA,NA,NA,466.448,NA,NA,NA,NA,4.31065,2,3,1.13606
"16461","CAN",12427872,12400233,1,10,NA,0.7774,-0.406,-0.7479,329.829,NA,NA,NA,NA,30.54184,NA,3,3.68844
"16462","CAN",12427874,12400118,2,9,-0.0611,0.7889,-0.5039,-0.6052,426.48,NA,NA,NA,NA,31.55642,2,3,5.8568
"16463","CAN",12427877,12400644,2,10,-0.3664,-1.6297,0.8172,1.2433,563.015,NA,NA,NA,NA,1.41117,1,3,1
"16464","CAN",12427878,12400575,2,10,NA,2.5026,5.243,-0.3836,360.517,NA,NA,NA,NA,23.06378,3,3,3.83216
"16465","CAN",12427880,12400581,2,10,0.6868,-1.6826,0.4551,0.8304,557.504,NA,NA,NA,NA,3.696,1,3,1.01209
"16466","CAN",12427881,12400220,1,9,0.6764,-0.3744,1.5745,1.5342,527.266,NA,NA,NA,NA,23.08,3,2,9.56266
"16467","CAN",12427883,12400489,1,9,-1.1378,2.5078,-1.1212,-0.6223,482.802,NA,NA,NA,NA,32.19357,1,3,3.26043
"16468","CAN",12427884,12400451,2,10,-0.521,-2.3868,1.4148,1.5835,569.52,NA,NA,NA,NA,5.48139,2,3,1
"16469","CAN",12427886,12400450,1,10,-0.1354,1.9159,-1.2042,0.8087,602.482,NA,NA,NA,NA,45.92011,NA,3,1.7567
"16470","CAN",12427887,12400049,2,10,1.8514,1.2595,0.5462,0.7897,629.118,NA,NA,NA,NA,32.21237,1,3,3.50206
"16471","CAN",12427888,12400137,1,10,-2.4425,2.6149,0.3027,-0.8463,490.005,NA,NA,NA,NA,6.14507,1,3,4.51926
"16472","CAN",12427889,12400787,1,10,-0.2938,0.429,0.448,0.6452,421.567,NA,NA,NA,NA,2.56899,1,3,1
"16473","CAN",12427890,12400376,1,10,0.4029,0.7774,0.0975,1.0818,565.604,NA,NA,NA,NA,9.28422,1,3,1
"16474","CAN",12427891,12400150,2,10,-1.007,1.1287,0.0924,0.6888,451.703,NA,NA,NA,NA,40.52019,2,3,1.92889
"16475","CAN",12427894,12400717,1,10,-1.0311,1.4533,-1.4981,-1.4603,451.433,NA,NA,NA,NA,20.9625,2,3,1.64896
"16476","CAN",12427895,12400779,2,9,-0.0504,-0.2885,0.7739,0.3852,550.874,NA,NA,NA,NA,22.31056,2,3,3.91527
"16477","CAN",12427900,12400025,2,9,1.6289,0.4252,-0.0623,-0.7792,501.254,NA,NA,NA,NA,32.93337,1,3,1.45358
"16478","CAN",12427902,12400692,2,9,-0.8699,1.5409,-1.1363,-1.3003,481.349,NA,NA,NA,NA,7.42455,1,3,1.08377
"16479","CAN",12427906,12400063,2,10,0.757,-0.4577,0.1083,0.8986,584.493,NA,NA,NA,NA,17.11731,3,1,1.92226
"16480","CAN",12427909,12400808,1,10,0.757,-1.0075,-0.785,-0.2676,487.4,NA,NA,NA,NA,20.30765,1,3,2.92502
"16481","CAN",12427911,12400018,1,9,0.4571,0.905,-0.2035,-0.4706,451.465,NA,NA,NA,NA,26.57141,2,3,2.81844
"16482","CAN",12427912,12400907,2,10,-1.0235,-2.3558,0.435,0.8831,709.62,NA,NA,NA,NA,17.59482,3,2,2.05845
"16483","CAN",12427920,12400492,2,10,-1.0068,0.8918,0.8639,-1.2138,507.434,NA,NA,NA,NA,43.22827,2,3,2.51124
