"","STU_ID","SCH_ID","BYSTUWT","STRAT_ID","PSU","G10COHRT","BYGRDRPT","BYMATHSE","BYSES1","BYRACE","BYSEX","BYTXCSTD","BYRISKFC","BYSTEXP","BYINCOME"
"230",105121,-5,120.5681,105,1,1,0,-0.365,-0.65,7,2,54.88,1,5,6
"231",105122,-5,120.5681,105,1,1,1,1.772,-0.81,7,2,47.61,1,2,9
"232",105123,-5,123.5966,105,1,1,0,0.82,0.34,7,1,52.43,1,5,9
"233",105124,-5,120.5681,105,1,1,0,-1.317,0.57,7,2,43.07,0,-1,8
"234",105125,-5,120.5681,105,1,1,0,0.305,-1.37,7,2,52.02,3,3,5
"235",105126,-5,123.5966,105,1,1,0,0.781,0.03,7,1,51.2,0,5,11
"236",105127,-5,120.5681,105,1,1,0,1.533,-0.68,7,2,41.91,0,4,9
"237",105128,-5,120.5681,105,1,1,0,-1.106,0.57,7,2,55.05,0,5,10
"238",105129,-5,120.5681,105,1,1,0,0.084,0.41,7,2,67.42,0,7,10
"239",105130,-5,120.5681,105,1,1,0,-0.116,-0.43,7,2,54.64,1,5,8
"240",105132,-5,123.5966,105,1,1,0,0.279,-0.49,7,1,56.49,2,5,8
"241",105133,-5,120.5681,105,1,1,1,-1.317,-1.09,7,2,37.99,3,3,9
"242",105134,-5,120.5681,105,1,1,98,-0.869,-0.9,6,2,56.81,-4,5,6
"243",105161,-5,0,105,1,0,0,-8,-8,-8,-8,-8,-8,-8,7
"244",105201,-5,213.2793,105,2,1,0,0.571,-0.65,7,2,48.36,1,6,10
"245",105202,-5,213.2793,105,2,1,0,-0.879,-0.43,7,2,50.16,0,7,8
"246",105205,-5,213.2793,105,2,1,0,0.571,-0.84,7,2,53.94,0,5,8
"247",105207,-5,213.2793,105,2,1,1,-9,-1.18,7,2,37.46,3,2,4
"248",105208,-5,0,105,2,1,0,-4,-4,-4,-4,56.42,-4,-4,11
"249",105209,-5,215.5481,105,2,1,0,-9,-0.82,7,1,49.99,1,5,8
"250",105211,-5,213.2793,105,2,1,0,1.772,1.07,7,2,58.74,0,7,10
"251",105213,-5,51.9866,105,2,1,0,-9,-0.45,4,2,41.93,2,5,8
"252",105216,-5,213.2793,105,2,1,0,-9,-0.28,7,2,46.98,1,6,8
"253",105217,-5,213.2793,105,2,1,0,-9,0.39,7,2,44.84,0,6,10
"254",105218,-5,213.2793,105,2,1,0,0.083,-1.13,7,2,45.08,2,-1,5
"255",105219,-5,215.5481,105,2,1,0,-9,0.38,7,1,53.59,0,6,9
"256",105220,-5,215.5481,105,2,1,1,-9,-0.58,7,1,51.56,1,5,8
"257",105221,-5,213.2793,105,2,1,0,-0.355,-0.83,7,2,42.43,2,4,5
"258",105226,-5,215.5481,105,2,1,0,-9,-0.68,7,1,58.83,0,5,8
"259",105227,-5,213.2793,105,2,1,0,0.571,0.7,7,2,60,0,6,10
"260",105228,-5,213.2793,105,2,1,1,-9,-0.35,7,2,42.52,3,5,10
"261",106101,-5,425.4231,106,1,1,0,1.322,1.13,7,2,58.24,0,5,11
"262",106102,-5,425.4231,106,1,1,0,0.332,0.74,7,2,53.39,0,7,12
"263",106103,-5,438.7593,106,1,1,0,1.772,0.89,7,1,49.5,0,5,12
"264",106104,-5,425.4231,106,1,1,0,0.571,0.63,7,2,61.92,0,6,12
"265",106105,-5,425.4231,106,1,1,98,-0.63,-0.52,7,2,42.91,-9,4,9
"266",106106,-5,425.4231,106,1,1,97,-0.63,-1.06,6,2,44.93,4,5,9
"267",106107,-5,438.7593,106,1,1,0,-0.63,0.09,7,1,44.82,0,5,11
"268",106108,-5,425.4231,106,1,1,98,1.772,-0.23,7,2,62.51,-4,5,11
"269",106109,-5,425.4231,106,1,1,98,-9,-0.69,7,2,44.1,-9,3,8
"270",106110,-5,425.4231,106,1,1,1,-0.393,0.55,7,2,35.18,1,7,8
"271",106111,-5,438.7593,106,1,1,0,1.772,1.44,5,1,60.68,0,7,11
"272",106112,-5,0,106,1,1,0,-4,-4,-4,-4,50.14,-4,-4,13
