STU_ID,BIPOC,FEMALE,X1TXMTSCOR,X1SES,X1MTHID,X1MTHUTI,X1MTHEFF
11513,0,1,41.688,-.4795,-1.16, , 
11514,0,1,51.2888,-.5981,-.57,-.3,-.17
11515,0,1,61.7824,.2044,.6,1.31,.1
11522,0,1,57.3404,.8303,.6, , 
11524,1,1,48.2853,-.1238,0, , 
11526,1,1,48.9606,-.4046,-.57,-.3,-.17
11536,0,0,65.9843,.9921,1.76,-.3,1.62
11537, ,0, , , , , 
11540,1,0,51.771,.0233,1.16,.9,.95
11542,0,1,48.2021,.5329,.6,-.3,.51
11546,0,1,51.6604,.183,.6,-.3,-.34
11551,0,0,51.5514,.1695,-.57,-.93,.1
11552,0,1,44.9243,.692,1.19,.9,.55
11553,1,0,45.3666,.3887, ,.67, 
11554,1,1,42.2549,-.43,-.57,1.31,-.17
11558,0,1,44.6418,-.1486,.6,-.93,.1
11559,0,0,43.0495,-.0296,-.57,.9,.95
11561,0,1,54.423,-.0655,-1.73,-1.67,.1
11565,1,0,46.2479,.8157,-1.73,-.3,-.3
11566,0,0,53.3722,.2093,.03,.27,-1.02
11567,1,0,42.3373,.1502,.6,-.3,.1
11568,1,0,67.0472,-.4653,1.76,.9,1.62
11571,0,0,33.988,-.6731,-1.16, , 
11572,0,1,44.6892,.3887,.03,1.31, 
11574,1,1,71.5672,.9456,.6,-1.33,.1
11577,1,1,52.6698,-.0677,1.16,.27,.55
11578,0,0,51.6537,.3105,-.57,-.3,-.56
11579,1,1,50.5957,1.1009,1.19,.9,.82
11580,0,1,40.9359,-.1724,-1.16,-.7,-.56
11581,1,0,39.517,-.9798,-.57, , 
11585,0,0,50.9285,-.0528,-.57,-.3,-.3
11589,0,1,60.2185,-.4504,1.16,.67,.38
11591,0,0,60.8322,-1.0283,.6,.27,.1
11593,1,0,32.9215,-.6108,-.57,1.31,-.58
11603,0,0,63.3771,.4123,.6,.9,.9
11606,0,1,32.16,-.6574,1.16, , 
11609,0,0, , , , , 
11614,1,1, , , , , 
11615,1,0,29.6378,-1.3184,-.03, , 
11616,1,0,51.3709,-.0792,-1.73, , 
11617,0,0,34.5117,-.1237,.63, , 
11620,0,1,44.9991,.0826,-1.73,-1.96,-1.41
11622,0,1,39.5058,-.8391,.6, , 
11631,0,1,49.0131,.7469,-.57,-1.33,-.56
11634,0,1,36.4394,-.7549,.03, , 
11635,1,1,45.3088,-.5402,.03,1.31, 
11642,1,0,44.5459,-.3554,1.76,-.36,.55
